0,1
46152,VOO CONTROLADO CONTRA O TERRENO
46154,COM TREM DE POUSO
46160,PERDA DE COMPONENTE EM VOO
46189,COLISÃO COM AVE
46153,PERDA DE CONTROLE EM VOO
46190,OUTROS
46179,PERDA DE CONTROLE NO SOLO
46191,COLISÃO COM AVE
46653,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO
46671,SOPRO DE REATOR
46192,ESTOURO DE PNEU
46187,COM ROTOR
46170,COM COMANDOS DE VOO
46214,POUSO EM LOCAL NÃO PREVISTO
46181,POUSO LONGO
46193,COLISÃO COM OBSTÁCULOS NO SOLO
46171,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46172,PANE SECA
46194,TRÁFEGO AÉREO
46210,COM PARA-BRISAS / JANELA / PORTA
46211,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46212,PERDA DE CONTROLE NO SOLO
46339,PERDA DE CONTROLE EM VOO
46173,FALHA DO MOTOR EM VOO
46198,PERDA DE CONTROLE NO SOLO
46202,VOO CONTROLADO CONTRA O TERRENO
52060,COLISÃO COM OBSTÁCULOS NO SOLO
46188,PERDA DE CONTROLE NO SOLO
46195,COLISÃO COM AVE
46215,POUSO EM LOCAL NÃO PREVISTO
46213,FALHA DO MOTOR EM VOO
46201,COM TREM DE POUSO
46217,FALHA DO MOTOR EM VOO
46218,TRÁFEGO AÉREO
46200,FALHA DO MOTOR EM VOO
46216,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46209,OUTROS
46522,F.O.D.
46199,PANE SECA
46219,ESTOURO DE PNEU
46682,COM TREM DE POUSO
46261,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
46280,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
46299,PERDA DE CONTROLE NO SOLO
46300,ESTOURO DE PNEU
46681,OUTROS
52061,VAZAMENTO DE OUTROS FLUIDOS
52062,OUTROS
46281,EXCURSÃO DE PISTA
46282,POUSO SEM TREM
46298,PERDA DE CONTROLE NO SOLO
46347,PERDA DE CONTROLE NO SOLO
46260,COLISÃO COM AVE
46297,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA
46279,COM TREM DE POUSO
46672,SUPERAQUECIMENTO
52063,TRÁFEGO AÉREO
46253,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46259,CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO
46263,POUSO LONGO
46336,PERDA DE CONTROLE NO SOLO
46345,PERDA DE CONTROLE NO SOLO
46255,COLISÃO DE AERONAVES EM VOO
52064,OUTROS
46258,COM COMANDOS DE VOO
46301,FOGO NO SOLO
46346,COLISÃO COM AVE
46256,POUSO ANTES DA PISTA
46264,POUSO EM LOCAL NÃO PREVISTO
46302,PERDA DE CONTROLE NO SOLO
46344,PERDA DE CONTROLE NO SOLO
46257,FALHA DO MOTOR EM VOO
46348,SOPRO DE REATOR
46435,PERDA DE CONTROLE EM VOO
46688,FALHA DO MOTOR EM VOO
46846,OUTROS
46436,FALHA DO MOTOR EM VOO
46444,COLISÃO COM OBSTÁCULOS NO SOLO
46349,PERDA DE CONTROLE NO SOLO
46296,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46437,PERDA DE CONTROLE EM VOO
46350,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46451,POUSO EM LOCAL NÃO PREVISTO
46310,OUTROS
46680,OUTROS
46686,OUTROS
46312,FALHA DO MOTOR EM VOO
46342,COLISÃO COM AVE
52065,ESTOURO DE PNEU
46311,PERDA DE CONTROLE NO SOLO
46520,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46684,ESTOURO DE PNEU
46308,PANE SECA
46418,COLISÃO COM OBSTÁCULOS NO SOLO
52066,OUTROS
46306,PERDA DE CONTROLE NO SOLO
46309,OUTROS
50831,PERDA DE CONTROLE EM VOO
46337,EXCURSÃO DE PISTA
46338,OUTROS
46307,ESTOURO DE PNEU
46685,OUTROS
52067,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46358,ESTOURO DE PNEU
46371,COLISÃO COM AVE
46340,POUSO BRUSCO
52068,ESTOURO DE PNEU
46691,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO
46341,VAZAMENTO DE OUTROS FLUIDOS
46359,ESTOURO DE PNEU
46362,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46519,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO
46354,PERDA DE CONTROLE EM VOO
46652,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46689,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46373,FALHA DO MOTOR EM VOO
46655,PANE SECA
46356,PERDA DE CONTROLE EM VOO
46377,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
46378,POUSO EM LOCAL NÃO PREVISTO
46379,COLISÃO COM OBSTÁCULOS NO SOLO
46523,ESTOURO DE PNEU
